grade,sourceChapter,sourceLesson,targetChapter,targetLesson,score,flags,questionCount,url
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Luyện tập chung (trang 95),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-chung-trang-95.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Mi-li-lít,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",16. Mi-li-lít,92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-mi-li-lit.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Nhiệt độ,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",17. Nhiệt độ,92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-nhiet-do.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000","Trắc nghiệm Góc vuông, góc không vuông","Chủ đề 2: Nhân, chia các số trong phạm vi 1 000","18. Góc vuông, góc không vuông",92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-goc-vuong-goc-khong-vuong.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Hình tam giác. Hình tứ giác,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000","19. Hình tam giác, hình tứ giác",92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-hinh-tam-giac-hinh-tu-giac.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Chu vi hình tam giác. Chu vi hình tứ giác,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000","20. Chu vi hình tam giác, chu vi hình tứ giác",92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-chu-vi-hinh-tam-giac-chu-vi-hinh-tu-giac.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Hình chữ nhật,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",21. Hình chữ nhật,92,ambiguous_match,8,https://vietjack.com/toan-3-cd/trac-nghiem-hinh-chu-nhat.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Hình vuông,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",22. Hình vuông,92,ambiguous_match,8,https://vietjack.com/toan-3-cd/trac-nghiem-hinh-vuong.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000","Trắc nghiệm Chu vi hình chữ nhật, chu vi hình vuông","Chủ đề 2: Nhân, chia các số trong phạm vi 1 000","23. Chu vi hình chữ nhật, chu vi hình vuông",92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-chu-vi-hinh-chu-nhat-chu-vi-hinh-vuong.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Em ôn lại những gì đã học (trang 113),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-em-on-lai-nhung-gi-da-hoc-trang-113.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000","Trắc nghiệm Ôn tập về phép nhân, phép chia trong phạm vi 1 000",CH?A MAP ???C,CH?A MAP ???C,43,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-on-tap-ve-phep-nhan-phep-chia-trong-pham-vi-1000.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Ôn tập về hình học và đo lường (trang 119),CH?A MAP ???C,CH?A MAP ???C,11,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-on-tap-ve-hinh-hoc-va-do-luong-trang-119.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Ôn tập chung (trang 121),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-on-tap-chung-trang-121.jsp
3,Trắc nghiệm Chương 3: Các số trong phạm vi 100 000,Trắc nghiệm Luyện tập (trang 20),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-trang-20.jsp
3,Trắc nghiệm Chương 3: Các số trong phạm vi 100 000,Trắc nghiệm Vẽ trang trí hình tròn,CH?A MAP ???C,CH?A MAP ???C,18,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-ve-trang-tri-hinh-tron.jsp
3,Trắc nghiệm Chương 3: Các số trong phạm vi 100 000,Trắc nghiệm Luyện tập chung (trang 34),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-chung-trang-34.jsp
3,Trắc nghiệm Chương 3: Các số trong phạm vi 100 000,Trắc nghiệm Thực hành xem đồng hồ,CH?A MAP ???C,CH?A MAP ???C,7,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-thuc-hanh-xem-dong-ho.jsp
3,Trắc nghiệm Chương 3: Các số trong phạm vi 100 000,Trắc nghiệm Thực hành xem đồng hồ (tiếp theo),CH?A MAP ???C,CH?A MAP ???C,17,unmatched,9,https://vietjack.com/toan-3-cd/trac-nghiem-thuc-hanh-xem-dong-ho-tiep-theo.jsp
3,Trắc nghiệm Chương 3: Các số trong phạm vi 100 000,Trắc nghiệm Em ôn lại những gì đã học (trang 47),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-em-on-lai-nhung-gi-da-hoc-trang-47.jsp
3,Trắc nghiệm Chương 3: Các số trong phạm vi 100 000,Trắc nghiệm Em vui học toán (trang 49),CH?A MAP ???C,CH?A MAP ???C,9,unmatched,9,https://vietjack.com/toan-3-cd/trac-nghiem-em-vui-hoc-toan-trang-49.jsp
3,"Trắc nghiệm Chương 4: Cộng, trừ, nhân, chia trong phạm vi 100 000",Trắc nghiệm Nhân với số có một chữ số (không nhớ),"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",2. Nhân với số có một chữ số (không nhớ),92,ambiguous_match,7,https://vietjack.com/toan-3-cd/trac-nghiem-nhan-voi-so-co-mot-chu-so-khong-nho-trang-59.jsp
3,"Trắc nghiệm Chương 4: Cộng, trừ, nhân, chia trong phạm vi 100 000",Trắc nghiệm Luyện tập (trang 63),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-trang-63.jsp
3,"Trắc nghiệm Chương 4: Cộng, trừ, nhân, chia trong phạm vi 100 000",Trắc nghiệm Luyện tập (trang 69),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-trang-69.jsp
